SaleID,price
200000,1177.348149335174
200001,1806.8461511425837
200002,8560.68608514804
200003,1346.4889804448994
200004,2074.292316789135
200005,1246.4574084527435
200006,377.8628321014269
200007,3689.1889853115276
200008,12373.757171217723
200009,609.9036507023
200010,550.3324196956571
200011,2599.1402241757496
200012,5930.220224654003
200013,8213.501423204774
200014,2122.1046596368615
200015,253.97949197805283
200016,1770.7145456374951
200017,8302.758681049207
200018,6623.001813620544
200019,641.751131276786
200020,24297.205872413793
200021,7662.433196925727
200022,1887.8062817682808
200023,1515.6673617676595
200024,932.9289050179957
200025,9204.750133456557
200026,557.1433386748837
200027,12667.777900492601
200028,4394.007344262172
200029,7727.334230001152
200030,17369.862812087253
200031,11980.304655834705
200032,572.9243857264042
200033,14378.918592601214
200034,841.3763223867078
200035,1924.5832184858916
200036,14301.61852537458
200037,6164.560546281653
200038,1286.73691973603
200039,328.0500896051243
200040,592.3977133589374
200041,25706.232814544805
200042,373.4610591497175
200043,8244.920370461974
200044,18021.55298257448
200045,612.4686908727042
200046,15760.308487622937
200047,16824.420594328978
200048,2025.1229992397605
200049,3132.0109431139063
200050,869.2791371140248
200051,4521.431513123422
200052,2916.963794435116
200053,330.7076448509864
200054,13272.08874353992
200055,9807.280122562175
200056,8206.775910545803
200057,3404.5100189430677
200058,1208.5377116810155
200059,5087.561075550057
200060,8033.73676499374
200061,1207.9880760075807
200062,5233.659008396884
200063,8871.389673882255
200064,1228.233546495569
200065,1900.3049110991153
200066,566.0533252638027
200067,10146.248127677607
200068,170.47933031869735
200069,18089.898332281628
200070,9040.119375428192
200071,393.58049896502007
200072,5665.487792775288
200073,19665.381695422693
200074,4420.6976853050655
200075,15026.002215988286
200076,3231.171184158882
200077,419.1573336061802
200078,370.3182606450681
200079,2921.796879547891
200080,3412.8012423912605
200081,2015.6102983635587
200082,3988.7314023222243
200083,458.37389600293636
200084,1269.3472527654694
200085,1619.1380620007992
200086,6748.252652218745
200087,3302.7129487416005
200088,2692.538274649054
200089,41360.21074070783
200090,2957.5454035705684
200091,204.79313522672862
200092,2067.1796008239926
200093,16849.741569487778
200094,6801.102905390415
200095,5432.203628478975
